x-axis,1,2,3
second,Volt,Volt,Volt
-1.0420000E+00,+34.3750E-03,+47.5000E-03,+84.3750E-03
-1.0415000E+00,+50.0000E-03,+41.2500E-03,+68.7500E-03
-1.0410000E+00,+34.3750E-03,+41.2500E-03,+84.3750E-03
-1.0405000E+00,+50.0000E-03,+35.0000E-03,+68.7500E-03
-1.0400000E+00,+34.3750E-03,+47.5000E-03,+53.1250E-03
-1.0395000E+00,+18.7500E-03,+28.7500E-03,+68.7500E-03
-1.0390000E+00,+34.3750E-03,+41.2500E-03,+68.7500E-03
-1.0385000E+00,+50.0000E-03,+41.2500E-03,+68.7500E-03
-1.0380000E+00,+34.3750E-03,+41.2500E-03,+68.7500E-03
-1.0375000E+00,+50.0000E-03,+47.5000E-03,+68.7500E-03
-1.0370000E+00,+34.3750E-03,+35.0000E-03,+68.7500E-03
-1.0365000E+00,+34.3750E-03,+47.5000E-03,+84.3750E-03
-1.0360000E+00,+34.3750E-03,+47.5000E-03,+68.7500E-03
-1.0355000E+00,+50.0000E-03,+35.0000E-03,+84.3750E-03
-1.0350000E+00,+34.3750E-03,+47.5000E-03,+84.3750E-03
-1.0345000E+00,+18.7500E-03,+41.2500E-03,+68.7500E-03
-1.0340000E+00,+50.0000E-03,+35.0000E-03,+68.7500E-03
-1.0335000E+00,+18.7500E-03,+47.5000E-03,+68.7500E-03
-1.0330000E+00,+34.3750E-03,+47.5000E-03,+84.3750E-03
-1.0325000E+00,+18.7500E-03,+41.2500E-03,+68.7500E-03
-1.0320000E+00,+34.3750E-03,+47.5000E-03,+84.3750E-03
-1.0315000E+00,+3.1250E-03,+41.2500E-03,+53.1250E-03
-1.0310000E+00,+18.7500E-03,+41.2500E-03,+68.7500E-03
-1.0305000E+00,+18.7500E-03,+41.2500E-03,+68.7500E-03
-1.0300000E+00,+18.7500E-03,+41.2500E-03,+84.3750E-03
-1.0295000E+00,+18.7500E-03,+47.5000E-03,+68.7500E-03
-1.0290000E+00,+3.1250E-03,+53.7500E-03,+53.1250E-03
-1.0285000E+00,+3.1250E-03,+41.2500E-03,+68.7500E-03
-1.0280000E+00,+18.7500E-03,+41.2500E-03,+53.1250E-03
-1.0275000E+00,+34.3750E-03,+41.2500E-03,+53.1250E-03
-1.0270000E+00,+18.7500E-03,+41.2500E-03,+68.7500E-03
-1.0265000E+00,+3.1250E-03,+47.5000E-03,+68.7500E-03
-1.0260000E+00,+3.1250E-03,+41.2500E-03,+53.1250E-03
-1.0255000E+00,+18.7500E-03,+41.2500E-03,+84.3750E-03
-1.0250000E+00,+3.1250E-03,+35.0000E-03,+53.1250E-03
-1.0245000E+00,+18.7500E-03,+41.2500E-03,+68.7500E-03
-1.0240000E+00,+18.7500E-03,+41.2500E-03,+68.7500E-03
-1.0235000E+00,+18.7500E-03,+35.0000E-03,+84.3750E-03
-1.0230000E+00,+3.1250E-03,+47.5000E-03,+84.3750E-03
-1.0225000E+00,+3.1250E-03,+41.2500E-03,+68.7500E-03
-1.0220000E+00,+34.3750E-03,+41.2500E-03,+84.3750E-03
-1.0215000E+00,+18.7500E-03,+35.0000E-03,+53.1250E-03
-1.0210000E+00,+18.7500E-03,+35.0000E-03,+53.1250E-03
-1.0205000E+00,+18.7500E-03,+41.2500E-03,+84.3750E-03
-1.0200000E+00,-12.5000E-03,+47.5000E-03,+84.3750E-03
-1.0195000E+00,+34.3750E-03,+35.0000E-03,+68.7500E-03
-1.0190000E+00,+18.7500E-03,+47.5000E-03,+68.7500E-03
-1.0185000E+00,+18.7500E-03,+41.2500E-03,+53.1250E-03
-1.0180000E+00,+18.7500E-03,+47.5000E-03,+68.7500E-03
-1.0175000E+00,+3.1250E-03,+35.0000E-03,+53.1250E-03
-1.0170000E+00,+3.1250E-03,+47.5000E-03,+68.7500E-03
