PC_w0,PC_w1,PC_w2,PC_AG,PC_NG,PC_SG,PV_w0,PV_w1,PV_w2,PV_AG,PV_GG,error,cv_PC,cv_PV,syn_PC,syn_PV
"[3, 33]","[2, 171]","[4, 234]","[4, 222]","[2, 122]","[2, 56]","[1, 218]","[0, 156]","[1, 193]","[4, 129]","[0, 119]",,0,0,,
"[3, 17]","[2, 177]","[4, 175]","[4, 86]","[2, 44]","[2, 57]","[1, 213]","[0, 22]","[1, 58]","[4, 140]","[0, 157]",,0,0,,
"[3, 34]","[2, 95]","[4, 93]","[4, 181]","[2, 130]","[2, 11]","[1, 90]","[0, 101]","[1, 202]","[4, 148]","[0, 133]",,0,0,,
"[3, 32]","[2, 46]","[4, 202]","[4, 209]","[2, 127]","[2, 47]","[1, 250]","[0, 130]","[1, 44]","[4, 201]","[0, 249]",,0,0,,
"[3, 33]","[2, 233]","[4, 50]","[4, 184]","[2, 213]","[2, 114]","[1, 45]","[0, 180]","[1, 110]","[4, 44]","[0, 114]",,0,0,,
"[3, 15]","[2, 207]","[4, 41]","[4, 212]","[2, 232]","[2, 140]","[1, 30]","[0, 233]","[1, 254]","[4, 167]","[0, 103]",,0,0,,
"[3, 21]","[2, 251]","[4, 216]","[4, 156]","[2, 65]","[2, 138]","[1, 59]","[0, 45]","[1, 33]","[4, 252]","[0, 64]",,0,0,,
"[3, 22]","[2, 69]","[4, 156]","[4, 187]","[2, 152]","[2, 210]","[1, 151]","[0, 84]","[1, 155]","[4, 71]","[0, 89]",,0,0,,
"[3, 15]","[2, 168]","[4, 248]","[4, 79]","[2, 51]","[2, 216]","[1, 216]","[0, 71]","[1, 129]","[4, 237]","[0, 193]",,0,0,,
"[3, 39]","[2, 135]","[4, 252]","[4, 30]","[2, 36]","[2, 192]","[1, 74]","[0, 121]","[1, 101]","[4, 161]","[0, 209]",,0,0,0,
"[3, 37]","[2, 156]","[4, 125]","[4, 74]","[2, 110]","[2, 237]","[1, 79]","[0, 213]","[1, 83]","[4, 148]","[0, 93]",,0,0,,
"[3, 41]","[2, 205]","[4, 16]","[4, 59]","[2, 19]","[2, 95]","[1, 41]","[0, 222]","[1, 205]","[4, 242]","[0, 44]",,0,0,-0.02,
