"PC_w0","PC_w1","PC_w2","PC_AG","PC_NG","PC_SG","PV_w0","PV_w1","PV_w2","PV_AG","PV_GG","error","cv_PC","cv_PV","syn_PC","syn_PV"
"[3, 31]","[3, 222]","[3, 187]","[3, 124]","[3, 23]","[3, 84]","[3, 109]","[3, 127]","[3, 253]","[3, 122]","[3, 208]",,0,0,,
"[3, 42]","[3, 165]","[3, 224]","[3, 42]","[3, 196]","[3, 70]","[3, 30]","[3, 174]","[3, 147]","[3, 243]","[3, 207]",,0,0,,
"[3, 56]","[3, 157]","[3, 147]","[3, 68]","[3, 31]","[3, 171]","[3, 200]","[3, 214]","[3, 174]","[3, 81]","[3, 101]",,0,0,0.71,
"[3, 46]","[3, 27]","[3, 91]","[3, 83]","[3, 130]","[3, 163]","[3, 179]","[3, 241]","[3, 164]","[3, 20]","[3, 33]",,0,0,,
"[3, 44]","[3, 230]","[3, 165]","[3, 109]","[3, 112]","[3, 169]","[3, 50]","[3, 229]","[3, 118]","[3, 246]","[3, 185]",,0,0,,
"[3, 56]","[3, 150]","[3, 195]","[3, 90]","[3, 43]","[3, 162]","[3, 220]","[3, 27]","[3, 21]","[3, 164]","[3, 131]",,0,0,0.71,
"[3, 57]","[3, 37]","[3, 47]","[3, 207]","[3, 220]","[3, 55]","[3, 137]","[3, 224]","[3, 113]","[3, 76]","[3, 72]",,0,0,0.5,
"[3, 38]","[3, 115]","[3, 181]","[3, 206]","[3, 18]","[3, 200]","[3, 164]","[3, 29]","[3, 52]","[3, 50]","[3, 54]",,0,0,,
"[3, 25]","[3, 21]","[3, 242]","[3, 85]","[3, 182]","[3, 116]","[3, 231]","[3, 221]","[3, 200]","[3, 116]","[3, 227]",,0,0,,
"[3, 21]","[3, 236]","[3, 112]","[3, 216]","[3, 117]","[3, 71]","[3, 199]","[3, 221]","[3, 60]","[3, 221]","[3, 202]",,0,0,,
"[3, 46]","[3, 144]","[3, 35]","[3, 233]","[3, 39]","[3, 23]","[3, 218]","[3, 18]","[3, 15]","[3, 61]","[3, 251]",,0,0,,
"[3, 19]","[3, 228]","[3, 118]","[3, 94]","[3, 172]","[3, 129]","[3, 161]","[3, 220]","[3, 28]","[3, 21]","[3, 224]",,0,0,,
"[3, 39]","[3, 69]","[3, 190]","[3, 235]","[3, 160]","[3, 143]","[3, 223]","[3, 44]","[3, 52]","[3, 107]","[3, 102]",,0,0,,
"[3, 24]","[3, 64]","[3, 206]","[3, 135]","[3, 236]","[3, 164]","[3, 225]","[3, 247]","[3, 170]","[3, 66]","[3, 108]",,0,0,,
"[3, 24]","[3, 217]","[3, 225]","[3, 160]","[3, 67]","[3, 75]","[3, 144]","[3, 191]","[3, 209]","[3, 95]","[3, 63]",,0,0,,
"[3, 33]","[3, 24]","[3, 147]","[3, 160]","[3, 95]","[3, 36]","[3, 52]","[3, 93]","[3, 169]","[3, 178]","[3, 48]",,0,0,,
