PC_w0,PC_w1,PC_w2,PC_AG,PC_NG,PC_SG,PV_w0,PV_w1,PV_w2,PV_AG,PV_GG,cv_error,synchrony_error
"[4, 125]","[4, 60]","[4, 191]","[1, 125]","[2, 167]","[4, 232]","[4, 76]","[1, 25]","[1, 151]","[2, 101]","[1, 241]",0.998,0.506
"[4, 136]","[1, 30]","[4, 238]","[1, 204]","[1, 170]","[4, 132]","[3, 172]","[1, 51]","[1, 31]","[1, 135]","[0, 155]",0.887,0.066
"[4, 59]","[4, 111]","[4, 31]","[1, 82]","[2, 193]","[4, 233]","[3, 132]","[2, 38]","[2, 198]","[2, 98]","[0, 41]",0.694,0.379
"[4, 113]","[3, 84]","[3, 101]","[2, 129]","[1, 53]","[4, 59]","[4, 57]","[2, 159]","[1, 178]","[2, 84]","[1, 162]",0.93,0.316
"[4, 192]","[2, 167]","[4, 133]","[1, 127]","[2, 178]","[4, 236]","[4, 155]","[2, 37]","[2, 107]","[2, 247]","[1, 216]",1.0,0.526
"[4, 83]","[4, 60]","[3, 14]","[1, 215]","[1, 185]","[4, 210]","[3, 108]","[1, 83]","[1, 165]","[2, 46]","[0, 162]",0.997,0.151
"[4, 181]","[2, 14]","[3, 197]","[1, 53]","[1, 31]","[4, 100]","[3, 147]","[2, 162]","[2, 168]","[1, 77]","[0, 22]",0.943,0.033
"[4, 60]","[1, 233]","[3, 133]","[1, 177]","[2, 168]","[4, 78]","[3, 140]","[1, 180]","[2, 156]","[2, 133]","[1, 210]",0.602,0.261
"[4, 37]","[4, 64]","[3, 250]","[2, 244]","[2, 51]","[4, 173]","[4, 215]","[2, 222]","[1, 60]","[1, 28]","[0, 121]",0.842,0.04
"[4, 163]","[2, 98]","[3, 41]","[1, 121]","[2, 11]","[4, 189]","[4, 129]","[1, 61]","[2, 33]","[2, 67]","[1, 222]",0.969,0.28
"[4, 109]","[1, 179]","[4, 235]","[1, 103]","[1, 11]","[4, 52]","[4, 27]","[2, 67]","[2, 12]","[2, 30]","[0, 99]",0.841,0.093
"[4, 121]","[3, 187]","[3, 251]","[1, 69]","[1, 70]","[4, 180]","[4, 13]","[1, 153]","[2, 198]","[2, 233]","[1, 25]",0.908,0.386
"[4, 155]","[1, 48]","[3, 145]","[1, 153]","[2, 198]","[4, 59]","[4, 104]","[1, 14]","[1, 155]","[2, 212]","[1, 137]",0.993,0.378
"[4, 20]","[1, 162]","[4, 34]","[1, 163]","[2, 244]","[4, 101]","[3, 145]","[1, 211]","[2, 245]","[1, 197]","[0, 43]",0.865,0.34
