PC_w0,PC_w1,PC_w2,PC_AG,PC_NG,PC_SG,PV_w0,PV_w1,PV_w2,PV_AG,PV_GG,cv_error,synchrony_error
"[3, 36]","[1, 110]","[4, 150]","[4, 167]","[2, 127]","[2, 173]","[2, 216]","[1, 210]","[0, 131]","[4, 130]","[0, 149]",0.999,
"[2, 177]","[1, 60]","[4, 52]","[4, 16]","[1, 165]","[1, 252]","[2, 232]","[0, 217]","[2, 204]","[4, 31]","[0, 146]",0.999,
"[2, 151]","[2, 253]","[4, 232]","[4, 34]","[1, 163]","[2, 197]","[2, 243]","[0, 10]","[1, 104]","[4, 43]","[0, 223]",0.999,
"[2, 149]","[2, 78]","[4, 110]","[4, 112]","[2, 102]","[2, 227]","[2, 232]","[0, 128]","[2, 214]","[4, 240]","[1, 228]",0.999,
"[3, 134]","[2, 200]","[3, 167]","[3, 48]","[1, 35]","[1, 44]","[1, 31]","[0, 245]","[0, 25]","[3, 116]","[0, 236]",0.999,0.229
"[3, 22]","[1, 104]","[3, 23]","[3, 159]","[1, 232]","[1, 14]","[2, 217]","[1, 37]","[1, 103]","[3, 76]","[1, 229]",0.999,
"[2, 197]","[1, 232]","[3, 99]","[4, 184]","[2, 99]","[1, 148]","[2, 191]","[0, 40]","[2, 186]","[3, 92]","[1, 149]",0.999,
"[2, 12]","[2, 119]","[3, 51]","[3, 21]","[1, 232]","[1, 63]","[2, 244]","[0, 148]","[0, 54]","[3, 223]","[1, 189]",0.999,
"[2, 178]","[2, 20]","[4, 100]","[4, 168]","[1, 182]","[1, 79]","[2, 138]","[1, 52]","[1, 67]","[3, 247]","[0, 190]",1,
"[2, 106]","[2, 105]","[4, 17]","[3, 91]","[1, 229]","[2, 249]","[1, 138]","[0, 138]","[1, 206]","[4, 188]","[1, 245]",1,
"[3, 244]","[2, 163]","[3, 23]","[4, 126]","[1, 244]","[1, 234]","[1, 202]","[1, 246]","[1, 75]","[3, 124]","[0, 61]",1,0.194
"[3, 10]","[1, 215]","[4, 229]","[3, 128]","[1, 34]","[1, 114]","[1, 201]","[1, 218]","[2, 217]","[4, 184]","[0, 225]",1,
"[2, 185]","[2, 186]","[3, 23]","[4, 90]","[2, 251]","[1, 23]","[2, 78]","[1, 28]","[2, 207]","[4, 92]","[0, 214]",1,
"[2, 254]","[2, 216]","[3, 79]","[3, 75]","[2, 137]","[1, 145]","[1, 211]","[1, 185]","[2, 134]","[4, 130]","[0, 171]",1,
"[2, 39]","[1, 204]","[3, 236]","[4, 201]","[2, 64]","[1, 217]","[1, 103]","[0, 197]","[2, 29]","[4, 220]","[0, 105]",1,
"[3, 14]","[2, 234]","[3, 196]","[4, 190]","[2, 219]","[2, 64]","[2, 51]","[1, 219]","[0, 72]","[4, 14]","[1, 85]",1,
"[2, 73]","[1, 78]","[3, 155]","[3, 249]","[2, 53]","[2, 16]","[2, 109]","[1, 179]","[0, 230]","[4, 231]","[1, 69]",1,
"[3, 19]","[2, 225]","[3, 195]","[3, 118]","[1, 182]","[1, 111]","[1, 169]","[1, 174]","[1, 174]","[3, 102]","[0, 80]",1,
"[3, 20]","[1, 42]","[3, 68]","[3, 47]","[1, 131]","[1, 104]","[2, 144]","[0, 242]","[0, 149]","[3, 167]","[1, 65]",1,
"[2, 53]","[2, 24]","[4, 236]","[4, 180]","[2, 239]","[1, 82]","[1, 143]","[0, 133]","[0, 34]","[3, 134]","[0, 26]",1,
"[2, 236]","[2, 123]","[3, 139]","[3, 85]","[2, 204]","[2, 211]","[1, 36]","[1, 94]","[1, 202]","[4, 114]","[0, 97]",1,
"[3, 151]","[1, 158]","[3, 14]","[4, 78]","[2, 250]","[1, 50]","[2, 28]","[0, 71]","[0, 142]","[4, 159]","[1, 240]",1,0.262
"[2, 53]","[1, 152]","[3, 138]","[3, 109]","[2, 30]","[2, 77]","[2, 23]","[0, 121]","[2, 184]","[3, 59]","[0, 109]",1,
